,Unnamed: 0,loc,title,author,is_foreign
244,244,46950_27949,古代生活に見えた恋愛,折口信夫,False
245,245,55598_56082,高峯の頌,今野大力,False
246,246,18398_19353,古代に於ける言語伝承の推移,折口信夫,False
249,249,1773_58422,老年と人生,萩原朔太郎,False
250,250,24406_15380,根岸庵を訪う記,寺田寅彦,False
252,252,51720_61961,夜の進軍らっぱ,小川未明,False
254,254,54770_63065,錢形平次捕物控,野村胡堂,False
255,255,55599_56007,静夜昇天,今野大力,False
257,257,52065_47802,三月の空の下,小川未明,False
258,258,42164_17885,小さな出来事,寺田寅彦,False
261,261,4872_21839,愛読書の印象,芥川龍之介,False
263,263,52683_45477,小照,太宰治,False
266,266,46961_26572,方言,折口信夫,False
269,269,3755_27342,文章と言葉と,芥川龍之介,False
275,275,42524_22771,エスキス,豊島与志雄,False
276,276,51052_51598,つばきの下のすみれ,小川未明,False
283,283,42620_21407,堕落論,坂口安吾,False
286,286,45422_39362,極夜の記,牧野信一,False
287,287,53435_43261,〔くもにつらなるでこぼこがらす〕,宮沢賢治,False
288,288,45716_23676,ピエロ伝道者,坂口安吾,False
290,290,45327_37470,馬車の歌,牧野信一,False
292,292,52846_45376,書斎を棄てゝ,牧野信一,False
293,293,52373_45496,このごろ,太宰治,False
294,294,53017_50659,親木と若木,小川未明,False
299,299,52143_41456,新官制擬定書,坂本龍馬,False
300,300,46605_31178,やまなし,宮沢賢治,False
304,304,45364_41253,街角,牧野信一,False
308,308,4575_24910,夜釣,泉鏡花,False
312,312,42461_31405,父の形見,豊島与志雄,False
313,313,2098_19608,眼を開く,夢野久作,False
314,314,52041_59483,海と少年,小川未明,False
315,315,52118_60225,ゆずの話,小川未明,False
316,316,51420_40030,手紙,坂本龍馬,False
317,317,42918_23107,未来のために,坂口安吾,False
319,319,52043_47137,海のまぼろし,小川未明,False
321,321,51386_39887,手紙,坂本龍馬,False
322,322,51064_51762,火を点ず,小川未明,False
324,324,43573_17939,春昼,太宰治,False
325,325,3786_27337,病中雑記,芥川龍之介,False
326,326,57273_58064,南極・北極・熱帯の雪,中谷宇吉郎,False
327,327,42849_34346,余はベンメイす,坂口安吾,False
329,329,897_20742,夜行巡査,泉鏡花,False
330,330,55575_56513,路は果して何れ,今野大力,False
333,333,47029_46743,詩ノート,宮沢賢治,False
337,337,54716_59653,錢形平次捕物控,野村胡堂,False
339,339,45877_32934,剣術の極意を語る,坂口安吾,False
340,340,45531_41075,戦死者の凱旋,田中貢太郎,False
342,342,53587_44230,交歡記誌,萩原朔太郎,False
350,350,480_39601,玉藻の前,岡本綺堂,False
351,351,33202_12224,後世,芥川龍之介,False
361,361,45493_23371,夢のお七,岡本綺堂,False
363,363,47913_49918,詩人も計算する,堀辰雄,False
372,372,24452_11251,しるこ,芥川龍之介,False
373,373,55688_60825,錢形平次捕物控,野村胡堂,False
374,374,48450_50095,顔の椿事,原民喜,False
380,380,49680_50949,影,岡本綺堂,False
382,382,50989_46405,眠い町,小川未明,False
383,383,45900_34356,“能筆ジム”,坂口安吾,False
385,385,55570_56359,墓場が用意された！,今野大力,False
390,390,53425_43323,不軽菩薩,宮沢賢治,False
393,393,54760_61588,錢形平次捕物控,野村胡堂,False
395,395,870_23837,軍用鮫,海野十三,False
397,397,45482_24685,兜,岡本綺堂,False
398,398,56760_58810,新書太閤記,吉川英治,False
399,399,54683_59557,錢形平次捕物控,野村胡堂,False
400,400,47932_50031,文學的散歩,堀辰雄,False
403,403,52680_45491,郷愁,太宰治,False
405,405,42839_27733,ニューフェイス,坂口安吾,False
406,406,4542_15436,女性崇拝,岡本かの子,False
411,411,42677_26261,擬体,豊島与志雄,False
417,417,45528_41066,狐狗狸の話,田中貢太郎,False
419,419,42888_23089,地方文化の確立について,坂口安吾,False
422,422,55533_55351,秋吹く風,今野大力,False
423,423,55522_56498,兵士の綱,今野大力,False
424,424,56816_58019,文章の一形式,坂口安吾,False
427,427,965_14983,半七捕物帳,岡本綺堂,False
431,431,45948_50597,小説集「聖女人像」後記,豊島与志雄,False
432,432,1584_13915,帰去来,太宰治,False
439,439,1303_12030,中国怪奇小説集,岡本綺堂,False
440,440,45591_41072,棄轎,田中貢太郎,False
441,441,46_15233,春の夜,芥川龍之介,False
442,442,42877_27761,青鬼の褌を洗う女,坂口安吾,False
450,450,53421_43334,〔雪とひのきの坂上に〕,宮沢賢治,False
451,451,54963_48519,小ざかな干物の味,北大路魯山人,False
457,457,42622_30960,飛騨の顔,坂口安吾,False
460,460,49527_42621,箕輪の心中,岡本綺堂,False
462,462,49545_33349,正月の思い出,岡本綺堂,False
467,467,45949_50739,小説集「白蛾」後記,豊島与志雄,False
471,471,49536_39460,能因法師,岡本綺堂,False
473,473,54057_53597,胸に手を当てて,今野大力,False
479,479,115_14856,尾形了斎覚え書,芥川龍之介,False
480,480,53147_63334,北の冬,小川未明,False
481,481,45281_39787,熱い砂の上,牧野信一,False
483,483,52025_41183,手紙,坂本龍馬,False
485,485,3826_27287,鬼ごつこ,芥川龍之介,False
486,486,4776_6655,ガリヴア旅行記,原民喜,False
491,491,54635_53333,錢形平次捕物控,野村胡堂,False
496,496,1682_11116,旅日記から（明治四十二年）,寺田寅彦,False
